,Time Relative (sec),Time Absolute (UTC),Time Absolute (Date_Time),Step,Ionizer_State,Pressure_(mBar),External_Pressure_(mBar),1_amu,2_amu_(Hydrogen),15_amu_(Methanol_/_CH3OH),18_amu_(Water),28_amu_(Nitrogen),29_amu_(Methanol_/_CH3OH),30_amu_(Methanol_/_CH3OH),31_amu_(Methanol_/_CH3OH),32_amu_(Oxygen),40_amu_(Argon),44_amu_(CO2),Periph:_Digital_In_0,Periph:_Digital_In_1,Periph:_Digital_In_13,Periph:_Digital_In_14,Periph:_Digital_In_15,Periph:_Digital_In_16,Periph:_Digital_In_17,Periph:_Digital_Out_2,Periph:_Digital_Out_3,Periph:_Digital_Out_4,Periph:_Digital_Out_5,Periph:_Digital_Out_6,Periph:_Digital_Out_7,Periph:_Digital_Out_8,Periph:_Digital_Out_9,Periph:_Digital_Out_10,Periph:_Digital_Out_11,Sig:_CO2_in_%,Sig:_N2_in_%,Sig:_H2_in_%,Sig:_H2O_in_%,Sig:_MeOH_in_%
21,10.695,1604671257.049,2020/11/06_15:00:57.049,1,3,5.748060174999999e-06,7.398177331000001e-06,1.456590543e-10,1.7516958369999998e-11,2.352617753e-11,1.665759752e-09,4.976386592e-08,4.1271713819999995e-10,2.832411909e-11,1.661369479e-11,1.10705658e-08,7.264844837e-10,4.830024575e-11,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.07556437657000001,77.85416918,0.2552842843,17.31958896,0.7527943495999999
22,11.145999999999999,1604671257.5,2020/11/06_15:00:57.500,1,3,5.748047897000001e-06,7.489476957e-06,1.4546897019999997e-10,1.7107176790000002e-11,2.379083736e-11,1.673011063e-09,4.994585723e-08,4.159061706e-10,2.866997438e-11,1.713915121e-11,1.084574031e-08,7.326442786e-10,4.661895175e-11,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.07296529337,78.17237385,0.25445480460000003,16.97512693,0.7598861865000001
23,11.597000000000001,1604671257.951,2020/11/06_15:00:57.951,1,3,5.752267498e-06,7.446543805e-06,1.4687777380000001e-10,1.751855952e-11,2.30555991e-11,1.66834091e-09,5.020409688e-08,4.168602408e-10,2.945674954e-11,1.661768292e-11,1.098672087e-08,7.265661406000001e-10,4.7305586530000003e-11,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.0735890977,78.0980527,0.2557367686,17.09106544,0.7560118847
24,12.048,1604671258.4020002,2020/11/06_15:00:58.402,1,3,5.751329354e-06,7.367050785e-06,1.453259457e-10,1.754254381e-11,2.347968174e-11,1.655346749e-09,4.97166539e-08,4.1393641289999995e-10,2.8267135159999998e-11,1.6592914540000002e-11,1.093591528e-08,7.299076897999999e-10,4.753647476e-11,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.0745898294,78.01076441,0.2555581353,17.15962447,0.7567430170999999
25,12.499,1604671258.853,2020/11/06_15:00:58.853,1,3,5.758456155e-06,7.344493497000001e-06,1.445359804e-10,1.783839916e-11,2.352447577e-11,1.6821400940000001e-09,4.979305501e-08,4.127110598e-10,2.93820801e-11,1.594206538e-11,1.098291591e-08,7.255758216e-10,4.758087674e-11,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.07449037407,77.95365592,0.2542056621,17.19433458,0.7539070995
26,12.95,1604671259.304,2020/11/06_15:00:59.304,1,3,5.753303867000001e-06,7.398177331000001e-06,1.441644581e-10,1.7293298740000002e-11,2.316801959e-11,1.68447023e-09,4.984585544e-08,4.1732520219999997e-10,2.853559229e-11,1.640023534e-11,1.092102586e-08,7.376110833e-10,4.7513989270000006e-11,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.07437615481000001,78.02634799,0.2527383473,17.0952581,0.7598677079999999
27,13.401,1604671259.755,2020/11/06_15:00:59.755,1,3,5.7533743529999994e-06,7.361406915e-06,1.463856675e-10,1.695192771e-11,2.3082339859999998e-11,1.7062511399999999e-09,4.983307278e-08,4.1644820930000004e-10,2.8748319699999997e-11,1.701695208e-11,1.097220981e-08,7.31628147e-10,4.7653384710000003e-11,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.07452892650000001,77.93791441,0.2554566837,17.16031344,0.7589928142
28,13.852,1604671260.206,2020/11/06_15:01:00.206,1,3,5.757065992000001e-06,7.355768048e-06,1.4561378490000002e-10,1.7319016010000002e-11,2.323392867e-11,1.689930196e-09,4.98494046e-08,4.176702317e-10,2.8477407929999997e-11,1.658374826e-11,1.091774049e-08,7.255348544e-10,4.906842987e-11,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.07681275345,78.03530774,0.2550584377,17.09086088,0.7607403404
29,14.302999999999999,1604671260.657,2020/11/06_15:01:00.657,1,3,5.756573955e-06,7.418055702000001e-06,1.471816696e-10,1.789809273e-11,2.3251732139999997e-11,1.689668849e-09,4.974577905e-08,4.1711184510000005e-10,2.832227161e-11,1.674319017e-11,1.100128255e-08,7.32524319e-10,4.809680779e-11,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.07530674662,77.88859491,0.2584707886,17.22506827,0.760052139
30,14.754000000000001,1604671261.1079998,2020/11/06_15:01:01.108,1,3,5.756064637999999e-06,7.319207725e-06,1.4500048380000002e-10,1.691847357e-11,2.2765719860000002e-11,1.668721161e-09,4.978573287e-08,4.142143017e-10,2.8629074810000004e-11,1.571436904e-11,1.0898059340000001e-08,7.371297461e-10,4.74464773e-11,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.07439045204,78.05812747,0.2538697311,17.08686518,0.7546581371
